0,0,-1.132e-72,-0.61538,-0.059172,0.15385
-0.0061413,-0.00061411,0.0015389,-0.61286,-0.06364,0.15393
-0.012257,-0.0012726,0.0030786,-0.61029,-0.068053,0.154
-0.018347,-0.001975,0.0046189,-0.60766,-0.072409,0.15406
-0.02441,-0.0027206,0.0061598,-0.60499,-0.076709,0.15412
-0.030447,-0.003509,0.0077012,-0.60226,-0.080953,0.15416
-0.036455,-0.0043395,0.0092429,-0.59949,-0.085142,0.15419
-0.042436,-0.0052116,0.010785,-0.59667,-0.089277,0.15422
-0.048389,-0.0061248,0.012327,-0.59381,-0.093356,0.15424
-0.054312,-0.0070786,0.01387,-0.5909,-0.097381,0.15425
-0.060206,-0.0080723,0.015412,-0.58794,-0.10135,0.15425
-0.066071,-0.0091054,0.016955,-0.58495,-0.10527,0.15425
-0.071905,-0.010177,0.018497,-0.58191,-0.10913,0.15425
-0.077709,-0.011288,0.02004,-0.57883,-0.11294,0.15424
-0.083482,-0.012436,0.021582,-0.57571,-0.1167,0.15423
-0.089223,-0.013622,0.023124,-0.57256,-0.12041,0.15421
-0.094933,-0.014844,0.024666,-0.56937,-0.12406,0.15419
-0.10061,-0.016103,0.026208,-0.56614,-0.12766,0.15417
-0.10626,-0.017397,0.027749,-0.56289,-0.13121,0.15414
-0.11187,-0.018727,0.029291,-0.55959,-0.13471,0.15412
-0.11745,-0.020091,0.030832,-0.55627,-0.13816,0.15409
-0.12299,-0.02149,0.032373,-0.55292,-0.14156,0.15406
-0.12851,-0.022922,0.033913,-0.54953,-0.1449,0.15404
-0.13398,-0.024388,0.035453,-0.54612,-0.1482,0.15401
-0.13943,-0.025886,0.036993,-0.54268,-0.15145,0.15398
-0.14484,-0.027417,0.038533,-0.53922,-0.15464,0.15395
-0.15021,-0.028979,0.040072,-0.53573,-0.15779,0.15393
-0.15555,-0.030572,0.041611,-0.53222,-0.16089,0.1539
-0.16086,-0.032196,0.04315,-0.52868,-0.16395,0.15388
-0.16613,-0.033851,0.044689,-0.52513,-0.16695,0.15386
-0.17136,-0.035535,0.046227,-0.52155,-0.16991,0.15384
-0.17656,-0.037249,0.047766,-0.51795,-0.17282,0.15382
-0.18172,-0.038991,0.049304,-0.51434,-0.17568,0.15381
-0.18684,-0.040762,0.050842,-0.51071,-0.17849,0.1538
-0.19193,-0.042561,0.05238,-0.50706,-0.18126,0.15379
-0.19698,-0.044387,0.053918,-0.5034,-0.18399,0.15378
-0.202,-0.046241,0.055455,-0.49973,-0.18666,0.15378
-0.20698,-0.048121,0.056993,-0.49604,-0.1893,0.15378
-0.21192,-0.050026,0.058531,-0.49234,-0.19188,0.15379
-0.21683,-0.051958,0.060069,-0.48863,-0.19443,0.15379
-0.22169,-0.053915,0.061607,-0.48491,-0.19693,0.15381
-0.22652,-0.055896,0.063145,-0.48118,-0.19938,0.15382
-0.23132,-0.057902,0.064683,-0.47744,-0.20179,0.15384
-0.23607,-0.059932,0.066222,-0.4737,-0.20416,0.15387
-0.24079,-0.061985,0.067761,-0.46994,-0.20648,0.1539
-0.24547,-0.064062,0.0693,-0.46619,-0.20877,0.15393
-0.25011,-0.066161,0.070839,-0.46243,-0.21101,0.15397
-0.25472,-0.068282,0.072379,-0.45866,-0.2132,0.15401
-0.25929,-0.070424,0.07392,-0.45489,-0.21536,0.15405
-0.26382,-0.072589,0.07546,-0.45112,-0.21747,0.1541
-0.26831,-0.074774,0.077002,-0.44735,-0.21955,0.15416
